song_number,song_title,song_lyrics
24,يا نفسي قومي هللي,"يَا نَفْسِي قُومِي هَلِّلِي
بِسُبْحِ فَادِيكِ الْعَلِيّْ
فَهْوَ لَكِ رَبٌّ رَحِيمْ
قَدْ فَاقَ حُبُّهُ الْعَظِيمْ
1
قَدْ رَقَّ لِي رَبُّ السَّمَا
أَنْقَذَنِي مِنَ الشَّقَا
عَنِّي قَضَى ذَاكَ الْحَبِيبْ
قَدْ فَاقَ حُبُّهُ الْعَجِيبْ
2
إِذَا ابْتَغَتْ جُنْدُ الْعِدَى
إِبْعَادِي عَنْ طُرْقِ الْهُدَى
يَهْدِي طَرِيقِي فِي الْمَسِيرْ
قَدْ فَاقَ حُبُّهُ الْكَثِيرْ
3
إِنْ أَزْعَجَتْ قَلْبِي الْهُمُومْ
فِي صَوْتِ رَعْدٍ كَالْغُيُومْ
يَجْلُو صَدَا قَلْبِي الْكَثِيفْ
قَدْ فَاقَ حُبُّهُ اللَّطِيفْ
4
إِنْ جُزْتُ وَادِي الْمَوْتِ لا
أَخْشَى وَبَالاً مُقْبِلا
فَالرَّبُّ لِي نِعْمَ الْمُعِينْ
قَدْ فَاقَ حُبُّهُ الثَّمِينْ
5
يُمْنَاهُ تَهْدِينِي إِلَى
إِرْثٍ سَعِيدٍ فِي الْعُلا
فَالشُّكْرُ لِلْفَادِي الْمَجِيدْ
قَدْ فَاقَ حُبُّهُ الشَّدِيدْ
6"
25,نصيب أهل الدنيا,"نَصِيبُ أَهْلِ الدُّنْيَا
فِي هَذِهِ الْحَيَاهْ
يُوَاصِلُونَ السَّعْيَا
نَحْوَ الْغِنَى وَالْجَاهْ
1
أَمَّا أَنَا فَفَخْرِي
بِالرَّبِّ لا سِوَاهْ
وَبِالتُّقَى وَالْبِرِّ
أَنْظُرُ وَجْهَ اللهْ
2
وَعِنْدَمَا أَقُومُ
أُعَايِنُ الإِلَهْ
وَمَعَهُ أَدُومُ
أَشْبَعُ مِنْ مَرْآهْ
3
فَالشُّكْرُ لِلْحَبِيبِ
إِلَى مَدَى الدُّهُورْ
عِزِّي كَنْزِي نَصِيبِي
وَمُنْتَهَى السُّرُورْ
4"
26,بحبك الشافي,"هُوَذَا الْحَبِيبُ وَافَى
ظَاهِرًا بَيْنَ الأَنَامْ
يَجْذِبُ الْقَلْبَ انْعِطَافَا
بِالْوَدَادِ وَالسَّلامْ
1
هُوَذَا الْخُبْزُ السَّمَاوِيّْ
قَدْ أَتَانَا مِنْ عُلاهْ
إِنَّهُ خَيْرُ طَعَامٍ
أَكْلُهُ يُعْطِي الْحَيَاهْ
2
هُوَذَا شَخْصُ الْحَبِيبِ
عَلَى الْبَابِ يَقْرَعُ
فَهْوَ عِزِّي وَنَصِيبِي
وَصَوْتَهُ أَسْمَعُ
3
هَكَذَا يَدْخُلُ قَلْبِي
وَيَتَعَشَّى مَعِي
إِنَّهُ يَسُوعُ رَبِّي
ذَاتَهُ يُظْهِرُ لِي
4"
27,أيها النور الإلهي,"يَسُوعُ قَدْ أَحْبَبْتَنَا
لِلْمَوْتِ يَا حَنُونْ
بِالضَّعْفِ قَدْ دُسْتَ الْقَوِيّْ
فِي أَمْنَعِ الْحُصُونْ
1
بِحُبِّكَ الشَّافِي
بِحُبِّكَ الْكَافِي
بِحُبِّكَ الْوَافِي
أَحْبَبْتَنَا يَا رَبّْ
ق
هَاجَ عَلَيْكَ الْخَصْمُ فِي
ذَاكَ الدُّجَى الْعَمِيقْ
بِالرُّعْبِ وَالشِّدَّةِ وَالـتَّرْكِ
بِلا رَفِيقْ
2
بِحُبِّكَ الشَّافِي
بِحُبِّكَ الْكَافِي
بِحُبِّكَ الْوَافِي
أَحْبَبْتَنَا يَا رَبّْ
ق
قَاسَيْتَ هَوْلَ الْمَوْتِ إِذْ
سُمِّرْتَ بِالصَّلِيبْ
أَمْوَاجُهُ عَجَّتْ عَلَى
رَأْسِكَ يَا حَبِيبْ
3
بِحُبِّكَ الشَّافِي
بِحُبِّكَ الْكَافِي
بِحُبِّكَ الْوَافِي
أَحْبَبْتَنَا يَا رَبّْ
ق
وَهَكَذَا أَكْمَلْتَ مَا
نَحْنُ بِهِ نَغْنَى
فِي الرَّاحَةِ الْعُظْمَى الَّتِي
فِي مَجْدِكَ الأَسْنَى
4
بِحُبِّكَ الشَّافِي
بِحُبِّكَ الْكَافِي
بِحُبِّكَ الْوَافِي
أَحْبَبْتَنَا يَا رَبّْ
ق"
28,يسوع ربي موئلي,"1
يَسُوعُ رَبِّي مَوْئِلِي
عَلَيْكَ تُكْلانِي
صَخْرَ الدُّهُورِ الأَزَلِيّْ
أَسَاسَ إِيمَانِي
2
أَرَاكَ قُرْبِي يَا يَسُوعْ
بِعَيْنِ إِيمَانِي
يُمْنَاكَ تَمْسَحُ الدُّمُوعْ
فِي وَقْتِ أَحْزَانِي
3
فِي وَحْدَتِي فِي وَحْشَتِي
ذِكْرُكَ سُلْوَانِي
فِي مِحْنَتِي فِي كُرْبَتِي
تُزِيلُ أَشْجَانِي
4
إِنْ كُنْتُ بِالْحِمْلِ أَنُوءْ
كَالْمُثْقَلِ الْعَانِي
تُنْقِذُنِي مِنْ كُلِّ سُوءْ
وَلَسْتَ تَنْسَانِي
5
لا نَفْعَ يُرْجَى سَيِّدِي
مِنْ عَوْنِ إِنْسَانِ
خُذْ بِيَدِي يَا مُنْجِدِي
يَا خَيْرَ مِعْوَانِ
6
يُمْنَاكَ تَهْدِينِي السَّبِيلْ
وَالْعَيْنُ تَرْعَانِي
وَحِينَمَا يَدْنُو الرَّحِيلْ
أَرْقَى لأَوْطَانِي
كتبها:
لحنها:"
29,في بيت الاَب في العلا,"1
فِي بَيْتِ الآبِ فِي الْعُلا
أُعِدَّ مَنْزِلِي
هُنَاكَ رَاحَتِي كَمَا
خَيْرُ الْجَزَاءِ لِي
2
مَعْ مَنْ أُحِبُّ طَاهِرًا
أَلْمَعُ بِالْمَجْدِ
مَحْضَرُهُ يُبْهِجُنِي
وَحُبُّهُ سَعْدِي
3
إِثْرُ الْخَطَايَا يَمَّحِي
وَالشَّرُّ سَيَغِيبْ
وَفِي النَّهَارِ الأَبَدِيّْ
أُسَاكِنُ الْحَبِيبْ
كتبها:
لحنها:"
30,يا ترى أي صديق,"1
يَا تُرَى أَيُّ صَدِيقٍ
مِثْلُ فَادِينَا الْحَبِيبْ
يَحْمِلُ الأَثْقَالَ عَنَّا
وَكَذَا الْهَمَّ الْمُذِيبْ
يَا لإِنْعَامٍ تَسَامَى
مِنْ لَدُنْ رَبِّ النَّجَاهْ
إِنَّنَا نُلْقِي عَلَيْهِ
كُلَّ حِمْلٍ بِالصَّلاهْ
2
كَمْ لَقِينَا مِنْ كُرُوبٍ
وَاكْتِئَابَاتِ الْحَيَاهْ
حَيْثُ لَمْ نُلْقِ عَلَيْهِ
كُلَّ حِمْلٍ بِالصَّلاهْ
هَلْ تَجَارِبٌ وَضِيقٌ
مِثْلَ أَمْوَاجِ الْمِيَاهْ
لاطَمَتْنَا وَرَمَتْنَا
فَعَلَيْنَا بِالصَّلاهْ
3
هَلْ صَدِيقٌ كَيَسُوعَ
قَادِرٌ بَرٌّ أَمِينْ
وَرَقِيقُ الْقَلْبِ يَرْثِي
لِبَلايَا الْمُؤْمِنِينْ
فَإِذَا كُنَّا تَعَابَى
مِنْ جَرَا حَمْلِ الْهُمُومْ
فَلْنُصَلِّ لِيَسُوعَ
إِنَّهُ الرَّبُّ الرَّحُومْ
كتبها:
لحنها:"
31,خلني قرب الصليب,"1
خَلِّنِي قُرْبَ الصَّلِيبْ
حَيْثُ سَالَ الْمُجْرَى
إِذْ دَمُ الْفَادِي الْحَبِيبْ
دَاءَ نَفْسِي أَبْرَا
ق
فِي الصَّلِيبْ فِي الصَّلِيبْ
رَاحَتِي بَلْ فَخْرِي
فِي حَيَاتِي وَكَذَا
لأَبَدِ الدَّهْرِ
2
قَدْ مَحَا عِنْدَ الصَّلِيبْ
دَمُ رَبِّي إِثْمِي
وَعَنِ الْقَلْبِ الْكَئِيبْ
زَالَ كُلُّ الْهَمِّ
ق
فِي الصَّلِيبْ فِي الصَّلِيبْ
رَاحَتِي بَلْ فَخْرِي
فِي حَيَاتِي وَكَذَا
لأَبَدِ الدَّهْرِ
3
قَدْ رَأَيْنَا فِي الصَّلِيبْ
قُوَّةَ الرَّحْمَانِ
إِذْ بَدَا أَمْرٌ عَجِيبْ
فِدْيَةٌ لِلْجَانِي
ق
فِي الصَّلِيبْ فِي الصَّلِيبْ
رَاحَتِي بَلْ فَخْرِي
فِي حَيَاتِي وَكَذَا
لأَبَدِ الدَّهْرِ
4
مَنْ قَضَى فَوْقَ الصَّلِيبْ
ذَاكَ كُلُّ الْقَصْدِ
سَيُرَى عَمَّا قَرِيبْ
ظَاهِرًا بِالْمَجْدِ
ق
فِي الصَّلِيبْ فِي الصَّلِيبْ
رَاحَتِي بَلْ فَخْرِي
فِي حَيَاتِي وَكَذَا
لأَبَدِ الدَّهْرِ
كتبها:
لحنها:"
32,قف بجوار الصليب,"1
قِفْ يَا جُنْدِيّْ جَانِبَ الصَّلِيبْ
عِنْدَ شُرُوقِ النُّورْ
حَتَّى عِنْدَ انْسِدَالِ الظَّلامْ
ثِقْ بِرَبِّنَا صَخْرِ الدُّهُورْ
ق
قِفْ بِجِوَارِ الصَّلِيبْ
أَيُّهَا الْجُنْدِيّْ الْجَبَّارْ
سَنَغْلِبُ عَنْ قَرِيبْ
وَنَرْجِعُ بِالانْتِصَارْ
2
قِفْ حَتَّى يَرْجِعَ رَبُّكَ
يَجِدْكَ غَالِبًا
مِنْ شَفَتَيْهِ سَتَسْمَعُ
كَفَاكَ قِتَالاً مُتْعِبًا
ق
قِفْ بِجِوَارِ الصَّلِيبْ
أَيُّهَا الْجُنْدِيّْ الْجَبَّارْ
سَنَغْلِبُ عَنْ قَرِيبْ
وَنَرْجِعُ بِالانْتِصَارْ
كتبها:
لحنها:"
33,قابلاً حمل صليبي,"1
قَابِلاً حَمْلَ صَلِيبِي
أَتْبَعُ الْفَادِي الأَمِينْ
وَكَذَا إِنْكَارَ نَفْسِي
وَارْتِدَا الْعَارِ الْمُهِينْ
فَهْوَ لِي أَسْنَى نَصِيبٍ
وَهْوَ سَيِّدِي الْحَبِيبْ
إِنْ جَفَانِي النَّاسُ طُرًّا
فَهْوَ لِي أَسْنَى نَصِيبْ
2
مَالِكٌ كُلَّ الْبَرَايَا
وَهْوَ بَارِيهَا الْعَلِيّْ
كُلُّ شَيْءٍ فِي السَّمَا
وَالْأَرْضِ لِي مَا دَامَ لِي
لَيْسَ لِي خِلٌّ سِوَاهُ
إِنَّنِي أَبْغِي رِضَاهْ
حُبُّهُ أَقْصَى مُرَادِي
لَيْسَ لِي خِلٌّ سِوَاهْ
3
لَيْسَ ضِيقٌ وَاضْطِهَادٌ
يُبْعِدَانِي عَنْ رِضَاهْ
لَسْتُ عَنْ حُبِّهِ أَسْلُو
بِأَبَاطِيلِ الْحَيَاهْ
فَهْوَ لِي كَنْزٌ ثَمِينٌ
وَهْوَ لِي حِصْنٌ حَصِينْ
عِنْدَهُ قَلْبِي مُقِيمٌ
فَهْوَ لِي كَنْزٌ ثَمِينْ
4
فَلِذَا أَحْيَا هُنَا فِي
الْأَرْضِ نَزِيلاً غَرِيبْ
رَاجِيًا بَعْدَ الْقَلِيلِ
أَنْ أَرَى وَجْهَ الْحَبِيبْ
فَسَلامٌ وَخُلُودٌ
عِنْدَ ذَلِكَ الْوَدُودْ
وَسُرُورٌ أَبَدِيٌّ
وَسَلامٌ وَخُلُودْ
كتبها:
لحنها:"
34,يسوع أنت ربي,"1
يَسُوعُ أَنْتَ رَبِّي
عَزِيزِيَ الأَمِينْ
لا أَرْهَبُ الْبَلايَا
وَأَنْتَ لِي مُعِينْ
تُرَى لِمَاذَا أَعْيَا
فِي سَفَرِي هُنَا
مَهْمَا يَكُنْ طَرِيقِي
يُفْضِ إِلَى السَّمَا
2
لِمَ أَخَافُ حُزْنًا
أَنْتَ مُلازِمِي
أَوْ أَجْزَعُ مِنْ يَوْمٍ
عَلَيَّ قَادِمِ
إِنْ أَتَّخِذْ صَلِيبِي
فَهْوَ لأَتْبَعَكْ
أَوْ إِنْ أَكُنْ مُهَانًا
فَلَمْ أَزَلْ مَعَكْ
3
فَلَمْ أَكُنْ مَخْدُوعًا
مِنْ مَجْدِ ذَا الزَّمَانْ
سَمِعْتُ وَصْفًا أَحْلَى
عَنْ ذَلِكَ الْمَكَانْ
حَيْثُ أَعَدَّ رَبِّي
لِي الْمَسْكِنَ الْمَرْغُوبْ
فَسَأَرَى عِيَانًا
مُخَلِّصِي الْمَحْبُوبْ
4
فِي وَسْطِ أَيِّ ضِيقٍ
فِي هَذِهِ الْحَيَاهْ
يَسُوعُ لِي مُعِينٌ
يَمْنَحُنِي النَّجَاهْ
مَا الْخَصْمُ لِي غَلاَّبًا
إِذْ فِيكَ لِي يَقِينْ
يَسُوعُ أَنْتَ رَبِّي
عَزِيزِيَ الأَمِينْ
كتبها:
لحنها:"
35,هوذا يسوع يأتي,"1
هُوَذَا يَسُوعُ يَأْتِي
نَفْسِي كُونِي بِانْتِظَارْ
وَإِذَا الدَّمْعَ سَكَبْتِ
لَيْلَةً يَأْتِي النَّهَارْ
2
فَافْرَحِي فِي كُلِّ حَالِ
وَاطْرَبِي جَاءَ السُّرُورْ
بِالْعَنَاءِ لا تُبَالِي
لَحْظَةٌ هَذَا الْعُبُورْ
3
قَالَتِ النَّفْسُ سُرُورِي
أَمْرُ رَبِّي ذِي الْبَهَاءْ
حَيْثُ فِي كُلِّ الأُمُورِ
سَيِّدِي فِيهِ الْعَزَاءْ
4
إِنَّنِي حَتْمًا أَرَاهُ
كَوْكَبَ الصُّبْحِ الْعَجِيبْ
وَأُسَرُّ بِبَهَاهُ
يَنْقَضِي دَهْرُ النَّحِيبْ
5
فِي ذُرَى الأَفْلاكِ أَعْلُو
صَاعِدًا مَعَ الْحَبِيبْ
وَلَهُ نَفْسِي سَتَشْدُو
وَبِهِ قَلْبِي يَطِيبْ
كتبها:
لحنها:"
36,نفسي اقربي بالشوق من,"1
نَفْسِي اقْرُبِي بِالشَّوْقِ مِنْ
كُرْسِيِّ رَحْمَتِهْ
حَيْثُ يَسُوعُ لِلدُّعَا
يُصْغِي بِنِعْمَتِهْ
2
يَا مَنْ وَعَدْتَ الْمُتْعَبَ
بِالرَّاحَةِ الْعُظْمَى
أَقْتَرِبُ مُطَالِبًا
بِوَعْدِكَ الأَسْمَى
3
يَا رَبُّ كُنْ تُرْسًا لِيَ
وَمَلْجَأً حَصِينْ
فَحُجَّتِي لِلْمُشْتَكِي
فِدَاؤُكَ الثَّمِينْ
4
يُدْهِشُنِي الْحُبُّ الَّذِي
بَدَا عَلَى الصَّلِيبْ
عَلَى أَسَاسِهِ أَنَا
أَدْعُو فَتَسْتَجِيبْ
كتبها:
لحنها:"
37,كيف لا والرب صرح,"37
مقام: Bb
ميزان: 4/4
نظم: (8و7)
أَجْهَلُ مَا سَوْفَ يَأْتِي
فِي الْغَدِ أَوْ بَعْدَهُ
فَالْغَدُ فِي عِلْمِ رَبِّي
لَيْسَ خَافٍ عِنْدَهُ
لَيْسَ هَمِّي مَا يَصِيرُ
مِنْ أُمُورٍ آتِيَاتْ
هَمِّي أَنْ أُرْضِيَ رَبِّي
فِي الْحَيَاةِ وَالْمَمَاتْ
لَسْتُ أَدْرِي مَا يَكُونُ
مِنْ حَيَاتِي فِي الْغَدِ
أَعْلَمُ شَيْئًا يَقِينًا
رَبِّي مُمْسِكٌ يَدِي
أَعْلَمُ: الدَّرْبُ مُنِيرُ
أَعْلَمُ: رَبِّي أَمِينْ
فَهْوَ لِي خَيْرُ رَفِيقٍ
وَهْوَ لِي خَيْرُ مُعِينْ
عَنْ قَرِيبٍ سَوْفَ أَمْضِي
إِلَى مَوْطِنِ الْخُلُودْ
حَيْثُ لا الدَّمْعُ يَسِيلُ
لا وَلا الْمَوْتُ يَسُودْ
لَسْتُ أَدْرِي مَا يَكُونُ
مِنْ حَيَاتِي فِي الْغَدِ
أَعْلَمُ شَيْئًا يَقِينًا
رَبِّي مُمْسِكٌ يَدِي
I Know Who Holds Tomorrow
---------------------
نظَمها: يوسف قسطة
لحنها: Ira Forest Stanphill"
38,يا نفسي قومي ربك نعم,"38
مقام:
ميزان:
نظم: (12و8)
يَا نَفْسِي قُومِي رَبُّكِ نِعْمَ الرَّقِيبْ
لا تَسْتَطِيعُ مَنْعَكِ أَيْدِي الْغَرِيبْ
سِيرِي فَيَحْمِيكِ الْقَدِيرْ
مَنْ قَدْ فَدَى قَبْلُ الأَسِيرْ
هَلْ فِي طَرِيقِكِ الْبَرَارِي وَالْقِفَارْ
حَيْثُ الظَّمَا فَهَاكِ أَنْهَارًا غِزَارْ
تَجْرِي بِفَيْضٍ وَسَخَاءْ
فِيهَا لَكِ كُلُّ ارْتِوَاءْ
طَرِيقُكِ عِنْدَ إِلَهِي يُعْرَفُ
وَنُورُهُ مَسِيرَكِ يَكْتَنِفُ
أَفْضَالُهُ لَكِ تَزِيدْ
حُبًّا إِلَى الْيَوْمِ السَّعِيدْ
مَقْصِدُكِ مَجْدَ السَّمَا حَيْثُ الأَمَانْ
فَفَقْرُكِ وَحُزْنُكِ يَنْتَهِيَانْ
بِمَرْأَى فَادِيكِ الْحَبِيبْ
فَهْوَ لَكِ نِعْمَ النَّصِيبْ
الكلمات:
الناظم:
اللحن:"
39,نصيبك يا نفسي مولاك,"39
مقام:
ميزان:
نظم: (12و8)
نَصِيبُكِ يَا نَفْسِي مَوْلاكِ الأَمِينْ
يُطْعِمُكِ دَوْمًا طَعَامَ الْبَالِغِينْ
لَيْسَ لَكِ أَنْ تَأْكُلِي
طَعَامَ مِصْرَ الأَوَّلِ
فُطِمْتِ عَنْ مِصْرَ لِمَ لاَ تَكْتَفِي
مَحْفُوظَةً مِنْ رَبِّكِ الْحِفْظَ الْخَفِيّْ
كُنُوزَهُ يُبْدِي لَكِ
وَحُبُّهُ يَحْصُرُكِ
يُبْدِي لَكِ فِي الْقَفْرِ مَوْلاَكِ الْحَكِيمْ
أَنْ تَعْرِفِيهِ أَنَّهُ الرَّبُّ الرَّحِيمْ
حِصْنٌ وَقُدُّوسٌ صَبُورْ
إِنْعَامُهُ كُلَّ الدُّهُورْ
وَإِنْ طَرِيقُكِ طَوِيلاً يُوجَدُ
فَهْوَ كَنَسْرٍ عَزْمَكِ يُجَدِّدُ
رِجْلاكِ مَعْ أَثْوَابِكِ
تُبْدِي اعْتِنَاءَ رَبِّكِ
وَعِنْدَمَا يَأْتِي بِكِ حُبُّ الْقَدِيرْ
لِمُشْتَهَاكِ بَيْتِ أَبِينَا الْمُنِيرْ
تَشْدِينَ لِلرَّبِّ الْكَرِيمْ
تَرْنِيمَةَ الْحُبِّ الْعَظِيمْ
الكلمات:
الناظم:
اللحن:"
